Family,Common Name,Scientific name,Notes
Pigeons,Rock Pigeon,Columba livia,"Common. Permanent resident, with both domestic and feral populations, latter in cliffs of Columbia Basin (introduced)."
Pigeons,Band-tailed Pigeon,Patagioenas fasciata,"Common. Summer resident and unCommon. Winter visitor in forest west, rare on east side of Cascades."
Pigeons,Eurasian Collared-Dove,Streptopelia decaocto,"Locally Common. Permanent resident; invaded from Southeast, has spread through much of state but now declining locally (introduced)."
Pigeons,Mourning Dove,Zenaida macroura,"Common. Summer resident, Occasional Winter visitor, in woodland and open country east, local and unCommon. Permanent resident west."
Nightjars,Common Nighthawk,Chordeiles minor,Common. Summer resident (now unCommon. west) of woodland and open country.
Nightjars,Common Poorwill,Phalaenoptilus nuttallii,Locally Common. Summer resident in dry conifer woodland east.
Swifts,Black Swift,Cypseloides niger,Local and unCommon. Summer resident from Cascades west; breeds colonially on cliffs but ranges widely.
Swifts,Vaux's Swift,Chaetura vauxi,"Common. Summer resident in forest, locally in cities; local autumn roosts in chimneys."
Swifts,White-throated Swift,Aeronautes saxatilis,Locally Common. Summer resident on cliffs of Columbia Basin.
Hummingbirds,Black-chinned Hummingbird,Archilochus alexandri,UnCommon. Summer resident in riparian woodland east of Cascades.
Hummingbirds,Anna's Hummingbird,Calypte anna,"Locally Common. Permanent resident west of Cascades, mostly in cities; widespread but local east."
Hummingbirds,Rufous Hummingbird,Selasphorus rufus,"Common. Summer resident in forest, fall Migrant (spring & fall) higher in mountains."
Hummingbirds,Calliope Hummingbird,Selasphorus calliope,"Common. Summer resident in dry conifer forest east of Cascades crest; fall Migrant (spring & fall) higher in mountains, rare Migrant (spring & fall) west."
Rails,Virginia Rail,Rallus limicola,Common. Permanent resident in freshwater marshes.
Rails,Sora,Porzana carolina,"Common. Summer resident, rare Winter visitor, in freshwater marshes."
Rails,American Coot,Fulica americana,"Abundant. Winter visitor on lakes and bays; Common. Summer resident in marshes, mostly east."
Cranes,Sandhill Crane,Antigone canadensis,"Locally Common. Migrant (spring & fall) east of Cascades and at Cape Flattery, rarely elsewhere west, from Arctic-breeding populations; wintering flock on lower Columbia River; few pairs breed in Klickitat and Yakima counties."
Avocets & Stilts,Black-necked Stilt,Himantopus mexicanus,"Locally Common. Summer resident in marshes east, rare Migrant (spring & fall) west."
Avocets & Stilts,American Avocet,Recurvirostra americana,"Locally Common. Summer resident in marshes east, rare Migrant (spring & fall) west."
Oystercatchers,Black Oystercatcher,Haematopus bachmani,UnCommon. Permanent resident on rocky coasts.
Plovers,Black-bellied Plover,Pluvialis squatarola,"Common. Winter visitor and Migrant (spring & fall) on coast, unCommon. fall Migrant (spring & fall) east of Cascades. Breeds in Arctic."
Plovers,American Golden-Plover,Pluvialis dominica,Rare. spring and unCommon. fall Migrant (spring & fall) on coast; rare fall Migrant (spring & fall) east. Breeds in Arctic.
Plovers,Pacific Golden-Plover,Pluvialis fulva,Rare. spring and unCommon. fall Migrant (spring & fall) on coast. Breeds in Alaska.
Plovers,Snowy Plover,Charadrius nivosus,UnCommon. Summer resident on coast from Grays Harbor south.
Plovers,Semipalmated Plover,Charadrius semipalmatus,"Common. Migrant (spring & fall), rare Winter visitor on coast; unCommon. Migrant (spring & fall) east; has bred at Grays Harbor."
Plovers,Killdeer,Charadrius vociferus,"Common. Permanent resident west, Common. Summer resident and unCommon. Winter visitor east."
Sandpipers,Whimbrel,Numenius phaeopus,"Common. Migrant (spring & fall), rare Winter visitor, on salt water; rare Migrant (spring & fall) at lakes east. Breeds in Arctic."
Sandpipers,Long-billed Curlew,Numenius americanus,UnCommon. Summer resident in open country east; rare Migrant (spring & fall) and even rarer Winter visitor on salt water.
Sandpipers,Bar-tailed Godwit,Limosa lapponica,"Rare. Migrant (spring & fall), mostly fall, on coast. Breeds in Alaskan Arctic."
Sandpipers,Hudsonian Godwit,Limosa haemastica,Rare. Migrant (spring & fall) on coast.
Sandpipers,Marbled Godwit,Limosa fedoa,"Locally Common. Migrant (spring & fall) and Winter visitor on coast, rare Migrant (spring & fall) east. Breeds in southern Alaska and on Great Plains."
Sandpipers,Ruddy Turnstone,Arenaria interpres,"Common. spring and unCommon. fall Migrant (spring & fall) on coast, rarely winters. Breeds in Arctic."
Sandpipers,Black Turnstone,Arenaria melanocephala,Common. Winter visitor on rocky coast. Breeds in Alaskan Arctic.
Sandpipers,Red Knot,Calidris canutus,"Locally Common. spring and unCommon. fall Migrant (spring & fall) on coast, rare east. Breeds in Arctic."
Sandpipers,Surfbird,Calidris virgata,Common. Winter visitor on rocky coast. Breeds in Alaska mountains.
Sandpipers,Ruff,Calidris pugnax,"Rare. fall and much rarer spring Migrant (spring & fall), mostly coastal mudflats. Breeds in Siberian Arctic."
Sandpipers,Sharp-tailed Sandpiper,Calidris acuminata,Rare. fall Migrant (spring & fall) on coast. Breeds in Siberian Arctic.
Sandpipers,Stilt Sandpiper,Calidris himantopus,Rare. fall Migrant (spring & fall) on fresh and salt water. Breeds in Arctic.
Sandpipers,Sanderling,Calidris alba,"Common. Migrant (spring & fall) and Winter visitor on coast; unCommon. Migrant (spring & fall), mostly fall, east. Breeds in Arctic."
Sandpipers,Dunlin,Calidris alpina,Abundant. Winter visitor and Migrant (spring & fall) on coast; unCommon. Migrant (spring & fall) at lakes east. Breeds in Arctic.
Sandpipers,Rock Sandpiper,Calidris ptilocnemis,UnCommon. and declining Winter visitor on rocky coast. Breeds in Alaskan Arctic.
Sandpipers,Baird's Sandpiper,Calidris bairdii,"UnCommon. Migrant (spring & fall), mostly fall, on fresh and salt water. Breeds in Arctic."
Sandpipers,Least Sandpiper,Calidris minutilla,"Common. Migrant (spring & fall) and unCommon. Winter visitor on coast, Common. Migrant (spring & fall) at lakes and marshes east. Breeds in boreal forest."
Sandpipers,Buff-breasted Sandpiper,Calidris subruficollis,"Rare. fall Migrant (spring & fall), mostly coastal dunes. Breeds in Arctic."
Sandpipers,Pectoral Sandpiper,Calidris melanotos,"UnCommon. Migrant (spring & fall), mostly fall, on fresh and salt water. Breeds in Arctic."
Sandpipers,Semipalmated Sandpiper,Calidris pusilla,"UnCommon. Migrant (spring & fall), mostly on fresh water and more common east. Breeds in Arctic."
Sandpipers,Western Sandpiper,Calidris mauri,"Abundant. Migrant (spring & fall) and unCommon. Winter visitor on coast, Common. Migrant (spring & fall) at lakes east. Breeds in Alaskan Arctic."
Sandpipers,Short-billed Dowitcher,Limnodromus griseus,"Abundant. Migrant (spring & fall) on coast, rare at lakes elsewhere. Breeds in boreal forest."
Sandpipers,Long-billed Dowitcher,Limnodromus scolopaceus,Common. Migrant (spring & fall) and unCommon. Winter visitor on fresh and salt water. Breeds in Alaskan Arctic.
Sandpipers,Wilson's Snipe,Gallinago delicata,"Common. Permanent resident west, Summer resident east, in marshes."
Sandpipers,Spotted Sandpiper,Actitis macularius,Common. Summer resident on rivers and lakes; unCommon. Winter visitor on coastal fresh and salt water.
Sandpipers,Solitary Sandpiper,Tringa solitaria,Rare. Migrant (spring & fall) on fresh water. Breeds in boreal forest.
Sandpipers,Wandering Tattler,Tringa incana,UnCommon. Migrant (spring & fall) on rocky coasts. Breeds in Alaska.
Sandpipers,Lesser Yellowlegs,Tringa flavipes,"UnCommon. spring and Common. fall Migrant (spring & fall), mostly fresh water. Breeds in boreal forest and Subarctic."
Sandpipers,Willet,Tringa semipalmata,"Rare. and local Winter visitor on coast, rarer Migrant (spring & fall) east. Breeds to east and south."
Sandpipers,Greater Yellowlegs,Tringa melanoleuca,"Common. Migrant (spring & fall) on fresh and salt water, local Winter visitor on coast. Breeds in boreal forest."
Sandpipers,Wilson's Phalarope,Phalaropus tricolor,"Common. Summer resident in marshes east, rare Migrant (spring & fall) on coast."
Sandpipers,Red-necked Phalarope,Phalaropus lobatus,"Common. Migrant (spring & fall) offshore and in protected salt water, less common in fresh water. Breeds in Arctic."
Sandpipers,Red Phalarope,Phalaropus fulicarius,"Common. Migrant (spring & fall) offshore, rarely to protected waters and rarely winters. Breeds in Arctic."
Skuas,South Polar Skua,Stercorarius maccormicki,Rare. Summer visitor offshore. Breeds in Antarctica.
Skuas,Pomarine Jaeger,Stercorarius pomarinus,UnCommon. Migrant (spring & fall) offshore. Breeds in Arctic.
Skuas,Parasitic Jaeger,Stercorarius parasiticus,"Common. Migrant (spring & fall) offshore, unCommon. along coast. Breeds in Arctic."
Skuas,Long-tailed Jaeger,Stercorarius longicaudus,UnCommon. fall Migrant (spring & fall) offshore. Breeds in Arctic.
Alcids,Common Murre,Uria aalge,Common. Winter visitor on coast; declining Summer resident on outer-coastal islands; colonial breeder.
Alcids,Pigeon Guillemot,Cepphus columba,Common. Permanent resident on protected salt water.
Alcids,Marbled Murrelet,Brachyramphus marmoratus,UnCommon. and declining Permanent resident on coast; breeds in old-growth conifer forest.
Alcids,Scripps's Murrelet,Synthliboramphus scrippsi,Rare. Summer visitor offshore.
Alcids,Ancient Murrelet,Synthliboramphus antiquus,Common. Winter visitor (Nov.-Jan. in protected waters) on coast; has bred on offshore islands.
Alcids,Cassin's Auklet,Ptychoramphus aleuticus,Common. but declining Permanent resident on outer coast; colonial breeder.
Alcids,Parakeet Auklet,Aethia psittacula,Rare. Winter visitor offshore.
Alcids,Rhinoceros Auklet,Cerorhinca monocerata,Abundant. Summer resident and locally common Winter visitor on coast; colonial breeder.
Alcids,Horned Puffin,Fratercula corniculata,"Rare. Winter visitor, mostly offshore."
Alcids,Tufted Puffin,Fratercula cirrhata,"Common. Summer resident on coast, winters offshore; colonial breeder."
Gulls & Terns,Black-legged Kittiwake,Rissa tridactyla,UnCommon. Winter visitor on outer coast. Breeds around Bering Sea.
Gulls & Terns,Sabine's Gull,Xema sabini,Common. Migrant (spring & fall) offshore. Breeds in Arctic.
Gulls & Terns,Bonaparte's Gull,Chroicocephalus philadelphia,"Common. Migrant (spring & fall) and unCommon. Winter visitor on salt water, rare Migrant (spring & fall) on lakes east. Breeds in boreal forest."
Gulls & Terns,Franklin's Gull,Leucophaeus pipixcan,UnCommon. fall Migrant (spring & fall) on fresh and salt water west; rare spring Migrant (spring & fall) on lakes east. Breeds to east and south.
Gulls & Terns,Heermann's Gull,Larus heermanni,"Common. Summer visitor and fall Migrant (spring & fall), rarely Winter visitor, on coast. Breeds in Gulf of California."
Gulls & Terns,Short-billed Gull,Larus brachyrhynchus,"Common. Winter visitor on coast, much less so inland. Breeds in boreal forest."
Gulls & Terns,Ring-billed Gull,Larus delawarensis,"Common. Summer resident at Grays Harbor and on lakes east, colonial breeder; Common. Winter visitor on fresh water, much less so on salt water."
Gulls & Terns,Western Gull,Larus occidentalis,"Common. Permanent resident on outer coast, decreasing east through protected waters; colonial breeder. Hybridizes freely with Glaucous-winged Gull."
Gulls & Terns,California Gull,Larus californicus,"Abundant. fall Migrant (spring & fall), much less common in spring and winter, on coast; Common. Summer resident on lakes east, colonial breeder."
Gulls & Terns,Herring Gull,Larus argentatus,UnCommon. Winter visitor on fresh and salt water. Breeds in boreal forest.
Gulls & Terns,Iceland Gull,Larus glaucoides,Locally Common. Winter visitor on salt and coastal fresh water. Breeds in Arctic.
Gulls & Terns,Lesser Black-backed Gull,Larus fuscus,Rare. Winter visitor.
Gulls & Terns,Glaucous-winged Gull,Larus glaucescens,"Common. Permanent resident on coast, colonial breeder; rare breeder and Winter visitor in interior. Hybridizes freely with Western Gull."
Gulls & Terns,Glaucous Gull,Larus hyperboreus,Rare. Winter visitor on fresh and salt water. Breeds in Arctic.
Gulls & Terns,Caspian Tern,Hydroprogne caspia,"Locally Common. Summer resident on coast, Columbia River, and interior reservoirs; colonial breeder."
Gulls & Terns,Black Tern,Chlidonias niger,Locally Common. Summer resident on lakes east; rare Migrant (spring & fall) on fresh and salt water west.
Gulls & Terns,Common Tern,Sterna hirundo,"UnCommon. Migrant (spring & fall) on coast, rare Migrant (spring & fall) on lakes east. Breeds to northeast in boreal forest."
Gulls & Terns,Arctic Tern,Sterna paradisaea,"Common. Migrant (spring & fall) offshore, occasionally on coast. Breeds in Arctic (has bred locally on coast)."
Gulls & Terns,Forster's Tern,Sterna forsteri,Locally Common. Summer resident on lakes east; rare Migrant (spring & fall) on fresh and salt water west.
Loons,Red-throated Loon,Gavia stellata,Common. Winter visitor on salt water. Breeds in Arctic and Subarctic.
Loons,Pacific Loon,Gavia pacifica,Common. Winter visitor on salt water; Abundant. Migrant (spring & fall) on outer coast. Breeds in Arctic.
Loons,Common Loon,Gavia immer,Common. Winter visitor on salt and fresh water; rare breeder on undisturbed lakes.
Loons,Yellow-billed Loon,Gavia adamsii,Rare. Winter visitor on salt water. Breeds in Arctic.
Albatrosses,Laysan Albatross,Phoebastria immutabilis,"Rare. offshore, mostly Winter visitor. Breeds in Hawaiian islands."
Albatrosses,Black-footed Albatross,Phoebastria nigripes,Common. Summer visitor and rare Winter visitor offshore. Breeds in Hawaiian Islands.
Albatrosses,Short-tailed Albatross,Phoebastria albatrus,Rare. offshore at any time. Breeds in northwestern Pacific.
Storm-Petrels,Fork-tailed Storm-Petrel,Oceanodroma furcata,"Common. Summer resident on outer coast, breeding on islands and foraging offshore."
Storm-Petrels,Leach's Storm-Petrel,Oceanodroma leucorhoa,"Common. Summer resident on outer coast, breeding on islands and foraging well offshore."
Petrels,Northern Fulmar,Fulmarus glacialis,Common. Winter visitor and unCommon. Summer visitor offshore. Breeds around Bering Sea.
Petrels,Mottled Petrel,Pterodroma inexpectata,"Rare. offshore, mostly Winter visitor. Breeds in New Zealand."
Petrels,Buller's Shearwater,Ardenna bulleri,UnCommon. Summer visitor (autumn) offshore. Breeds in New Zealand.
Petrels,Short-tailed Shearwater,Ardenna tenuirostris,"UnCommon. Migrant (spring & fall), mostly fall, offshore, rarely into Puget Sound. Breeds in Australia."
Petrels,Sooty Shearwater,Ardenna grisea,"Common. Summer visitor on outer coast, rarely into Puget Sound. Breeds in New Zealand."
Petrels,Pink-footed Shearwater,Ardenna creatopus,Common. Summer visitor offshore. Breeds in Chile.
Petrels,Flesh-footed Shearwater,Ardenna carneipes,Rare. Summer visitor offshore. Breeds in Australia.
Petrels,Manx Shearwater,Puffinus puffinus,"Rare. Summer visitor on outer coast. Breeds in North Atlantic, possibly North Pacific."
Boobies,Cocos Booby,Sula brewsteri,Rare. visitor from tropical ocean.
Cormorants,Brandt's Cormorant,Urile penicillatus,"Common. Winter visitor and Abundant. Migrant (spring & fall) (from south) on coast, immatures remain through summer; colonial breeder on outer coast."
Cormorants,Pelagic Cormorant,Urile pelagicus,Common. Permanent resident on coast; colonial breeder.
Cormorants,Double-crested Cormorant,Nannopterum auritum,Common. Permanent resident on salt water and large interior lakes; colonial breeder.
Pelicans,American White Pelican,Pelecanus erythrorhynchos,"UnCommon. Summer visitor on lakes of Columbia Basin, local colonial breeder and rare Winter visitor on Columbia River; regular visitor and occasional breeder west at present."
Pelicans,Brown Pelican,Pelecanus occidentalis,"Common. Summer visitor on outer coast, rarely into protected waters. Breeds from California south."
Herons,American Bittern,Botaurus lentiginosus,UnCommon. Permanent resident in freshwater marshes.
Herons,Black-crowned Night-Heron,Nycticorax nycticorax,Locally Common. Summer resident in marshes of Columbia Basin; colonial breeder; rare and local Winter visitor east and west.
Herons,Green Heron,Butorides virescens,UnCommon. Summer resident (rarely winters) on streams and swamps west of Cascades.
Herons,Great Egret,Ardea alba,"Growing breeding colonies in Grant County; otherwise uncommon but increasing Summer visitor (and rarer Winter visitor) on fresh and salt water, mostly on coast and in Columbia Basin."
Herons,Great Blue Heron,Ardea herodias,Common. Permanent resident on fresh and salt water; colonial breeder.
American Vultures,Turkey Vulture,Cathartes aura,UnCommon. Summer resident in most parts of state; large flocks at times seen in coastal migration.
Osprey,Osprey,Pandion haliaetus,UnCommon. Summer resident on fresh and salt water.
Hawks,White-tailed Kite,Elanus leucurus,Rare. Permanent resident at woodland edge southwest.
Hawks,Golden Eagle,Aquila chrysaetos,"UnCommon. Permanent resident in mountains and dry canyons, wanders to other open habitats in winter."
Hawks,Northern Harrier,Circus hudsonius,UnCommon. Permanent resident in open country.
Hawks,Sharp-shinned Hawk,Accipiter striatus,"UnCommon. Summer resident in mountain forest, more often seen Winter visitor in wooded lowlands."
Hawks,Cooper's Hawk,Astur cooperii,UnCommon. Permanent resident in mixed and broadleaf forests.
Hawks,Northern Goshawk,Astur atricapillus,Rare. Permanent resident in mature conifer forest.
Hawks,Bald Eagle,Haliaeetus leucocephalus,Common. Permanent resident on fresh and salt water.
Hawks,Red-shouldered Hawk,Buteo lineatus,Rare. Permanent resident in woodland southwest.
Hawks,Broad-winged Hawk,Buteo platypterus,"Rare. Migrant (spring & fall), spring on outer coast, fall in Cascades."
Hawks,Swainson's Hawk,Buteo swainsoni,UnCommon. Summer resident in open country east of Cascades.
Hawks,Red-tailed Hawk,Buteo jamaicensis,"Common. Permanent resident in all habitats, numbers augmented in winter."
Hawks,Rough-legged Hawk,Buteo lagopus,UnCommon. to locally Common. Winter visitor in open country. Breeds in Arctic.
Hawks,Ferruginous Hawk,Buteo regalis,"Rare. and local Summer resident in southeast quarter of state, mostly in canyons."
Barn Owls,American Barn Owl,Tyto furcata,UnCommon. Permanent resident in any habitat that provides nest sites.
Typical Owls,Flammulated Owl,Psiloscops flammeolus,UnCommon. Summer resident in dry conifer forest east.
Typical Owls,Western Screech-Owl,Megascops kennicottii,UnCommon. Permanent resident in forest.
Typical Owls,Great Horned Owl,Bubo virginianus,Common. Permanent resident in all habitats.
Typical Owls,Snowy Owl,Bubo scandiacus,UnCommon. to rare (erratic) Winter visitor in open country. Breeds in Arctic.
Typical Owls,Northern Hawk Owl,Surnia ulula,"Rare. Winter visitor, usually associated with open woodland; has bred in Okanogan County."
Typical Owls,Northern Pygmy-Owl,Glaucidium gnoma,UnCommon. Permanent resident in conifer forest.
Typical Owls,Burrowing Owl,Athene cunicularia,UnCommon. and declining Summer resident in sagebrush steppe east.
Typical Owls,Spotted Owl,Strix occidentalis,Rare. and still declining Permanent resident of old-growth conifer forest from east side of Cascades to coast.
Typical Owls,Barred Owl,Strix varia,"Fairly Common. Permanent resident in all wooded habitats west, still local east."
Typical Owls,Great Gray Owl,Strix nebulosa,"Rare. and local Permanent resident in open conifer forest; breeds east, more widespread in winter."
Typical Owls,Long-eared Owl,Asio otus,"UnCommon. Permanent resident (more local in winter) in forest, especially riparian woodland; much less common west."
Typical Owls,Short-eared Owl,Asio flammeus,"UnCommon. Permanent resident in open country, increasing in winter west."
Typical Owls,Boreal Owl,Aegolius funereus,Rare. Permanent resident in high-elevation conifer forest.
Typical Owls,Northern Saw-whet Owl,Aegolius acadicus,Common. but rarely seen Permanent resident in forest.
Kingfishers,Belted Kingfisher,Megaceryle alcyon,"UnCommon. Permanent resident on fresh and salt water, more widespread in winter."
Woodpeckers,Lewis's Woodpecker,Melanerpes lewis,UnCommon. Summer resident (winters locally) in ponderosa pineland and oak and riparian woodland east of Cascades; rare Migrant (spring & fall) west.
Woodpeckers,Acorn Woodpecker,Melanerpes formicivorus,Rare. Permanent resident in oak woodland in southern Klickitat County.
Woodpeckers,Williamson's Sapsucker,Sphyrapicus thyroideus,UnCommon. Summer resident in mature dry conifer forest east of Cascades crest; rare Migrant (spring & fall) west.
Woodpeckers,Red-naped Sapsucker,Sphyrapicus nuchalis,Common. Summer resident in forest east of Cascades crest; rare Migrant (spring & fall) west.
Woodpeckers,Red-breasted Sapsucker,Sphyrapicus ruber,"UnCommon. Permanent resident in mature forest from Cascades west, local on east side of Cascades."
Woodpeckers,American Three-toed Woodpecker,Picoides dorsalis,UnCommon. Permanent resident in high-elevation conifer forest east of Cascades crest.
Woodpeckers,Black-backed Woodpecker,Picoides arcticus,UnCommon. Permanent resident in conifer forest east of Cascades crest; mostly in burns.
Woodpeckers,Downy Woodpecker,Dryobates pubescens,Common. Permanent resident in broadleaf and mixed forest.
Woodpeckers,Hairy Woodpecker,Dryobates villosus,Common. Permanent resident in conifer and mixed forest.
Woodpeckers,White-headed Woodpecker,Dryobates albolarvatus,UnCommon. Permanent resident in ponderosa pineland from Cascades east.
Woodpeckers,Pileated Woodpecker,Dryocopus pileatus,"UnCommon. Permanent resident in mature forest, increasingly in suburbs."
Woodpeckers,Northern Flicker,Colaptes auratus,Common. Permanent resident in all wooded habitats.
